Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"🚀 Inspiring the Next Generation in Tech! 🚀 

Yesterday, Tsofen had the pleasure of organizing a tour for 10th-grade students from Ar'ara High School's computer science track to the innovative company, Innoviz Technologies. 

The tour was an immersive experience, giving students the opportunity to engage with key figures in the tech industry. They had insightful discussions with the Deputy Chief of Development, explored automated testing with an engineer, and gained insights into lab operations from the laboratory manager. 

From mechanics to electronics and even the car garage, students got a firsthand look at how cutting-edge technology is developed and integrated. It's incredible to see young minds embracing the world of technology with such enthusiasm! 🌟 

#TechEducation #FutureLeaders #Tsofen
Manal Saabni Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Avishay Moskowiz",https://www.linkedin.com/feed/update/urn:li:activity:7168912250899009538,Organic,,Yara Yazbek,02/29/2024,,,All followers,1369,,,328,0.239590943,17,0,1,,0.252739221,
"🎉 We are thrilled to announce that Datahack's #DataCoach program has been successfully launched in collaboration with the Technion - Israel Institute of Technology, University of Haifa, and Tsofen! 💻✨ This groundbreaking initiative was designed to empower and integrate Arabs into the dynamic fields of Data Science and AI. 

We are honored to participate in the events that have taken place, and we wish all participants a successful academic year. ✨ 

Stay tuned for future events and collaborations! 
#DiversityInTech #DataScience #AI 🚀

Layan Bathish Islam Hag Yahya Merav Boaz - Boozy מירב (בוזי) בועז Maisam Jaljuli Dolev shelly Shay Palachy-Affek",https://www.linkedin.com/feed/update/urn:li:activity:7168525867453669378,Organic,,Yara Yazbek,02/28/2024,,,All followers,1469,,,208,0.14159292,22,0,1,,0.157249823,
"Huge thanks to Technion Canada for backing diversity and inclusion in hi-tech! 🤝 We're thrilled to see companies like Hailo, led by Technion alum CTO Avi Baum, joining in. Their involvement speaks volumes about Technion - Israel Institute of Technology's alumni impact and our shared dedication to inclusivity. 💼 Your ongoing support empowers Tsofen and others to foster positive change and meaningful collaboration. 🌐👏 ",https://www.linkedin.com/feed/update/urn:li:activity:7167851702367207424,Organic,,Yara Yazbek,02/26/2024,,,All followers,482,,,8,0.016597511,4,0,0,,0.024896266,
"🚀Limited Spaces Available!🚀
Passionate about startups? Join us for Startup Spotlight: Stories from Experts.

Get invaluable insights, practical tips, and network with professionals in the startup scene! 🌟

📅 Date: 4.3.24
🕒 Time: 16:30 – 18:30
📍 Location: Klika QasemHub, Omar el-Khatab St 76

Engage in panel discussions, gain actionable strategies, and expand your network. Secure your spot now! >> https://lnkd.in/dz_w9B5f

🚨 Reminder: Registration is in full swing, spaces are limited, so hurry and register today! 🏃‍♂️💨 See you there! 😊

Layan Bathish Islam Hag Yahya kawkab wattad Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Hussein Esa Rasha Bker Omar Gharra",https://www.linkedin.com/feed/update/urn:li:activity:7167811684663713793,Organic,,Yara Yazbek,02/26/2024,,,All followers,548,,,20,0.036496349,7,0,1,,0.05109489,
"🍏 The ""Road to Apple"" event held at Technion - Israel Institute of Technology Campus last Wednesday was a remarkable gathering that brought together 52 talented students specializing in various engineering disciplines. Organized in collaboration with Apple, the event aimed to provide attendees with valuable insights into the journey of joining the renowned tech company. Presentations throughout the day covered crucial topics such as the interview process, technology trends, and HR strategies.

The event kicked off with enlightening presentations from recruiters from Apple, Raya Najjar and Likaa' Abu Nimer, who shared invaluable insights into the intricacies of the HR interview process and offered expert advice on crafting impressive resumes. Their guidance on navigating interviews and initial interactions with recruiters left a lasting impact on all participants, equipping them with essential tools for their future career endeavors.

Engineer Khaled Masarwa, software & validation team manager, took the stage in the second part of the event, delivering a captivating presentation on mastering technical interviews. Khaled's tips for learning, preparation, and interview conduct, coupled with real-life technical interview questions, provided attendees with invaluable knowledge and practical insights.

A heartfelt thank you goes out to all the participants, organizers, and Apple for their invaluable contributions to the success of this event. Looking ahead, we are excited about the prospects of further enriching collaborations and opportunities for career development in the hi-tech industry! 🌟
#RoadToApple #Technion #Engineering #HiTech #CareerDevelopment 

Sujood Nassar Rawia Khoury Zaher Rawya Hammad Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז",https://www.linkedin.com/feed/update/urn:li:activity:7165997997606985728,Organic,,Yara Yazbek,02/21/2024,,,All followers,2414,,,1223,0.506627977,25,0,1,,0.517398536,
"Are you passionate about startups and eager to learn from professionals within the industry?
Look no further! We're thrilled to announce our upcoming event: 
Startup Spotlight: Stories from Startup Scene Experts 🚀

Join us for an evening filled with invaluable insights, tips, and tactics shared by experienced practitioners working in various startup companies.
Whether you're an aspiring entrepreneur, a startup enthusiast, or someone looking to network with like-minded individuals, this meetup is designed for you! 🌟

📅 Date: 4.3.24
🕒 Time: 16:30 – 18:30 
📍 Location: Klika QasemHub Omar el-Khatev St 76

✨ Panel Discussions: Engage with a diverse panel of startup professionals as they share their journeys, challenges, and lessons learned. 
✅ Practical Tips and Tactics: Gain actionable advice and strategies to navigate the startup landscape effectively. 
🤝 Networking Opportunities: Connect with fellow attendees, exchange ideas, and expand your professional network.
🎤 Q&A Session: Have burning questions? Here's your chance to get them answered by our expert speakers.

Don't miss this opportunity to be part of a dynamic community dedicated to fostering innovation and growth in the startup ecosystem.
Click on the Link & secure your spot: 
https://lnkd.in/dz_w9B5f
See you there! 😊

Hussein Esa Rasha Jaber Omar Gharra Bker Sawalha Merav Boaz - Boozy מירב (בוזי) בועז Maisam Jaljuli kawkab wattad Layan Bathish Islam Hag Yahya",https://www.linkedin.com/feed/update/urn:li:activity:7165665879471468544,Organic,,Yara Yazbek,02/20/2024,,,All followers,1464,,,75,0.051229507,20,0,8,,0.070355192,
"Thank you Alliance for Middle East Peace - ALLMEP, for recognizing Tsofen's research in this important article! 
We are honored to contribute to understanding the impact of recent events on shared society living. Our findings highlight the complexities of the situation, underscoring both rising tensions and the transformative potential of people-to-people encounters. We appreciate your support in fostering dialogue and reconciliation efforts. 🌟 🕯
#SharedSociety #DiversityinTech ",https://www.linkedin.com/feed/update/urn:li:activity:7165278784928137216,Organic,,Yara Yazbek,02/19/2024,,,All followers,530,,,9,0.016981132,7,0,0,,0.03018868,
"🚀 Last Thursday, we had an incredible turnout at our exclusive event where University of Haifa's city campus students had the opportunity to connect with Shutterfly engineers! The insightful discussions included a company presentation exploring their areas of activity, and engaging short lectures on #BigData, #Frontend & #Backend development, including a fascinating #ChatGPT session. 
Thanks to everyone who attended and made it a success! 
Stay tuned for more exciting events like this in the future. 🌟

Rawya Hammad Rawia Khoury Zaher Forsatech USAID Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז",https://www.linkedin.com/feed/update/urn:li:activity:7164947164501065728,Organic,,Yara Yazbek,02/18/2024,,,All followers,739,,,117,0.158322051,11,0,0,,0.17320703,
"🚀 A huge thank you to everyone who joined us last Monday for our insightful ""Innovate the Future"" discussion on navigating #innovation and #careers in #technology! 🌟

A special shoutout to Tsofen's Rawan & Joanne for arranging this event and Cadence Design Systems for collaborating with us to make this event possible. It was truly an enriching experience!

We explored the significance of innovation, its impact on professional development, and how it can transform both our work and mindset. The insights shared by our experienced engineers were invaluable, shedding light on the paths to success in the #Hitech industry.

Let's continue to embrace innovation and strive for excellence in our professional endeavors. Stay tuned for more exciting events and opportunities ahead! 💡 

Merav Boaz - Boozy מירב (בוזי) בועז Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7163840303500587008,Organic,,Yara Yazbek,02/15/2024,,,All followers,286,,,52,0.181818187,7,0,0,,0.206293702,
"🚀 Calling all #Engineering Students! 
We've dedicated this meeting just for you!
Join us for an engaging session with engineers from Amdocs! 💻
And get to know the company up close. 📈📲

During the meeting, we'll discuss the opportunities and challenges facing students in general when searching for engineering jobs.

⏰ Tuesday, 20.2.2024 | 18:00 PM - 19:30 PM | on Microsoft Teams 📌

Register now via the form >>
https://lnkd.in/eEFkpD34

Rawya Hammad Abdalla Srouji Maha Gazalen Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Rawia Khoury Zaher",https://www.linkedin.com/feed/update/urn:li:activity:7163448687958962177,Organic,,Yara Yazbek,02/14/2024,,,All followers,2297,,,164,0.071397476,46,1,5,,0.0940357,
